ID,name,description,isSaveBag,imageUrl
CUE_0000_card,香山大学学生卡,一张学生证，印着持有者的信息和照片，还有香山大学的校徽。使用得当，或许能带来意想不到的机会。,1,
CUE_0005_message_library,今日计划,前往图书馆查找文献并进行电报机研究。,1,
CUE_0010_message_miss,<color=#894332>【关于图书馆地下藏间女鬼的校园传说】</color>,来自清浅的不靠谱消息：\n在图书馆的地下藏间里徘徊着女学生和老师的鬼魂，根据陶清浅所述，富家千金和她的同学老师死于家产争夺，又或者是被地下黑洞吸入，因为都喜欢读书所以鬼魂留在了图书馆。,1,
CUE_9010_tutorial,<color=#894332>右上角</color>查看信息,故事中收集到的信息会存储在言蹊的手机备忘录中，点击<color=#894332>右上角图标</color>可以查看信息。,1,
CUE_9020_tutorial,<color=#894332>A、D键</color>移动,点击<color=#894332>A、D键</color>可以让角色在场景中左右移动。,1,
CUE_9030_tutorial,<color=#894332>E键</color>交互,场景中的<color=#894332>光点</color>是可交互物，操作角色靠近后，点击<color=#894332>E键</color>可以进行交互，查看详细信息。,1,
CUE_0015_build,图书馆外的施工处,每个学校都会有一处奇妙工地——\n开学那天开始施工，毕业那天才能完工。如今正值假期，工人放假，施工了半年的工地上只遗留着工人的<color=#894332>“装备”</color>。,1,
CUE_0020_review_telegraph,莫尔斯电报机的构造与发展,莫尔斯电报机是全国最早使用的电报机，包括人工机、韦斯登快机（三柱凿孔机）和克利特快机（键盘凿孔机）。三种摩尔斯电报机的原理虽然都是凿孔发报，但发报效率是在逐步提高。\n——记载于《电报机演进及发展》，2018,1,
CUE_0030_review_telegraphoffice,楚庭市骐骥电报机制造厂的兴衰,1930年，隶属楚庭市电报局的骐骥电报机器制造厂成功仿制出两台克利特快机，奈何后续工厂倒闭、产线停工，直至1933年，华亭市电报局开始使用克利特快机通报，此后各地才相继使用。\n——记载于《近代楚庭市电信产业发展与兴衰》，1995,1,
CUE_0040_review_college,香山大学近代电信研究和人才培养史,1930年，香山大学购入两台国产克利特快机用于研究，后也用于电信人才培养，奈何战后清点发现其中一台遗失，剩下一台藏于图书馆地下藏间。\n——记载于《香山大学与民国电信人才培养》，1985,1,
